day,cx
2022-03-30,70.94022
2022-03-31,58.68502
2022-04-01,64.39129
2022-04-02,88.79936
2022-04-03,99.34806
2022-04-04,55.70753
2022-04-05,62.720535
2022-04-06,59.156948
2022-04-07,62.34763
2022-04-08,60.250286
2022-04-09,121.03855
2022-04-10,72.0457
2022-04-11,45.11702
2022-04-12,125.559654
2022-04-13,50.693314
2022-04-14,66.68904
2022-04-15,49.920986
2022-04-16,93.397705
2022-04-17,66.38228
2022-04-18,95.09684
2022-04-19,107.74546
2022-04-20,61.72516
2022-04-21,53.99853
2022-04-22,98.02867
2022-04-23,224.34325
2022-04-24,114.344284
2022-04-25,45.429348
2022-04-26,73.79351
2022-04-27,50.87661
2022-04-28,65.861984
2022-04-29,94.107376
2022-04-30,99.151634
2022-05-01,92.06957
2022-05-02,56.48789
2022-05-03,73.678314
2022-05-04,64.662895
2022-05-05,62.275528
2022-05-06,90.88757
2022-05-07,146.61382
2022-05-08,80.71202
2022-05-09,56.161854
2022-05-10,72.67777
2022-05-11,112.38652
2022-05-12,64.035995
2022-05-13,106.300285
2022-05-14,144.88567
2022-05-15,87.62689
2022-05-16,54.577274
2022-05-17,49.085194
2022-05-18,63.719105
2022-05-19,80.65156
2022-05-20,103.09766
2022-05-21,130.7147
2022-05-22,115.08047
2022-05-23,46.989372
2022-05-24,145.06381
2022-05-25,114.875534
2022-05-26,79.59024
2022-05-27,120.98474
2022-05-28,110.08406
2022-05-29,611.4755
2022-05-30,61.492195
2022-05-31,63.83702
2022-06-01,61.450397
2022-06-02,79.08746
2022-06-03,108.798546
2022-06-04,134.98093
2022-06-05,124.882034
2022-06-06,61.368195
2022-06-07,82.94204
2022-06-08,59.125298
2022-06-09,82.68351
2022-06-10,112.93167
2022-06-11,114.50958
2022-06-12,103.78255
2022-06-13,67.74339
2022-06-14,68.41713
2022-06-15,70.4579
2022-06-16,71.2773
2022-06-17,79.68182
2022-06-18,134.32565
2022-06-19,96.33152
2022-06-20,51.303947
2022-06-21,62.02568
2022-06-22,62.714672
2022-06-23,130.57912
2022-06-24,251.54117
2022-06-25,110.93176
2022-06-26,78.9552
2022-06-27,47.869766
2022-06-28,53.955013
2022-06-29,52.18272
2022-06-30,66.30475
2022-07-01,89.93264
2022-07-02,183.21083
2022-07-03,77.09926
2022-07-04,59.554333
2022-07-05,53.237843
2022-07-06,52.01429
2022-07-07,60.441277
